Variable:,tas
,"Trinidad and Tobago",Arima,Chaguanas,Couva/Tabaquite/Talparo,"Diego Martin",Penal/Debe,"Point Fortin","Port Of Spain","Princes Town","Rio Claro/Mayaro","San Fernando","San Juan/Laventille","Sangre Grande",Siparia,Tobago,Tunapuna/Piarco
2091,28.23,28.78,28.78,28.78,28.78,28.78,28.78,28.78,28.78,28.77,28.78,28.78,28.74,28.78,27.91,28.78
2092,28.25,28.76,28.76,28.76,28.76,28.76,28.76,28.76,28.76,28.75,28.76,28.76,28.72,28.76,27.99,28.76
2093,28.19,28.70,28.70,28.70,28.70,28.70,28.70,28.70,28.70,28.69,28.70,28.70,28.66,28.70,27.95,28.70
2094,28.16,28.65,28.65,28.65,28.65,28.65,28.65,28.65,28.65,28.64,28.65,28.65,28.62,28.65,27.85,28.65
2095,27.97,28.48,28.48,28.48,28.48,28.48,28.48,28.48,28.48,28.47,28.48,28.48,28.44,28.48,27.73,28.48
2096,28.00,28.56,28.56,28.56,28.56,28.56,28.56,28.56,28.56,28.55,28.56,28.56,28.52,28.56,27.69,28.56
2097,28.16,28.59,28.59,28.59,28.59,28.59,28.59,28.59,28.59,28.59,28.59,28.59,28.56,28.59,27.87,28.59
2098,28.20,28.68,28.68,28.68,28.68,28.68,28.68,28.68,28.68,28.67,28.68,28.68,28.65,28.68,27.91,28.68
2099,28.08,28.74,28.74,28.74,28.74,28.74,28.74,28.74,28.74,28.73,28.74,28.74,28.69,28.74,27.76,28.74
2100,28.06,28.44,28.44,28.44,28.44,28.44,28.44,28.44,28.44,28.44,28.44,28.44,28.42,28.44,27.83,28.44
