Variable:,tas
,"United States",Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,"District of Columbia",Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,"New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota",Ohio,Oklahoma,Oregon,Pennsylvania,"Rhode Island","South Carolina","South Dakota",Tennessee,Texas,Utah,Vermont,Virginia,Washington,"West Virginia",Wisconsin,Wyoming
2005,10.57,19.33,-1.62,18.30,18.25,15.34,8.42,12.41,15.08,15.31,23.19,19.37,23.33,9.02,13.55,13.48,11.37,14.87,15.07,21.12,6.71,14.52,11.03,9.07,7.56,19.57,15.16,7.68,11.41,12.13,8.56,13.55,14.16,9.15,16.86,7.15,12.44,17.96,9.90,11.57,12.29,18.66,9.65,16.15,20.54,10.99,7.81,14.78,10.56,12.83,8.73,6.69
2006,10.37,19.22,-1.90,18.25,18.42,15.19,8.11,12.28,15.11,15.30,23.17,19.31,23.52,8.45,13.43,13.36,11.20,15.01,15.08,21.23,6.61,14.53,10.96,8.85,7.23,19.63,15.18,7.06,11.27,11.62,8.41,13.49,14.12,9.05,16.91,6.65,12.22,18.17,9.27,11.48,12.27,18.74,9.34,16.14,20.73,10.29,7.70,14.75,10.04,12.82,8.49,6.19
2007,10.40,19.18,-1.44,18.16,18.18,15.20,8.07,12.37,14.97,15.20,23.26,19.27,23.39,8.51,13.21,13.20,11.09,14.63,14.89,21.11,6.93,14.46,11.09,8.99,7.49,19.41,14.82,7.13,10.96,11.58,8.62,13.46,14.06,9.24,16.99,6.82,12.11,17.85,9.66,11.47,12.26,18.80,9.35,16.03,20.45,10.16,7.93,14.73,10.19,12.70,8.61,6.08
2008,10.51,18.93,-1.12,18.36,18.00,15.36,8.19,12.56,14.97,15.13,23.03,19.04,23.47,8.87,13.33,13.28,11.35,14.60,14.95,20.84,7.09,14.42,11.28,8.97,7.38,19.11,14.98,7.39,11.27,11.69,8.83,13.44,14.19,9.35,16.72,6.82,12.22,17.79,9.99,11.54,12.50,18.55,9.60,15.90,20.33,10.44,8.12,14.59,10.74,12.71,8.45,6.35
2009,10.45,19.18,-1.12,18.21,18.11,15.07,7.97,12.52,15.26,15.52,23.14,19.22,23.44,8.35,13.70,13.74,11.36,14.61,15.33,21.09,6.95,14.80,11.24,9.33,7.29,19.43,15.18,6.83,11.14,11.58,8.75,13.73,14.02,9.59,16.87,6.44,12.78,17.75,9.46,12.01,12.39,18.66,9.05,16.22,20.29,10.23,8.07,14.87,10.07,13.13,8.86,5.91
2010,10.55,19.33,-1.46,18.29,18.43,15.30,8.30,12.68,15.58,15.86,23.34,19.50,23.52,8.68,13.64,13.78,11.16,14.77,15.34,21.27,6.92,15.07,11.22,9.20,7.38,19.60,15.15,7.10,11.14,11.82,8.64,13.89,14.23,9.52,17.35,6.44,12.86,18.23,9.80,12.05,12.42,19.05,9.25,16.36,20.56,10.36,7.99,15.28,10.52,13.31,8.62,6.24
2011,10.50,18.85,-1.13,18.39,18.07,15.45,8.15,12.45,15.04,15.33,23.17,18.95,23.63,8.86,13.29,13.25,11.06,14.56,14.88,21.02,6.84,14.54,11.07,8.96,7.40,19.27,14.87,7.32,11.09,11.97,8.51,13.48,14.19,9.25,16.80,6.59,12.27,17.80,9.92,11.63,12.26,18.55,9.23,15.82,20.36,10.53,7.80,14.71,10.65,12.72,8.46,6.41
2012,10.62,19.18,-0.93,18.50,18.32,15.46,8.38,12.48,14.95,15.17,23.10,19.20,23.72,8.58,13.47,13.29,11.54,14.79,14.91,21.21,6.65,14.45,10.90,8.85,7.65,19.52,15.14,7.16,11.49,11.89,8.34,13.49,14.41,9.04,16.75,7.02,12.08,18.03,9.78,11.45,12.19,18.64,9.85,16.09,20.75,10.59,7.64,14.62,10.33,12.73,8.66,6.34
2013,10.65,19.16,-0.98,18.36,18.18,15.44,8.19,12.72,15.28,15.50,23.34,19.30,23.69,8.95,13.31,13.35,11.31,15.01,15.00,21.08,7.28,14.76,11.37,9.18,7.57,19.34,15.15,7.56,11.53,11.82,8.98,13.78,14.22,9.72,16.87,6.62,12.43,18.14,9.92,11.91,12.47,18.78,9.39,16.04,20.56,10.38,8.38,14.82,10.88,12.91,8.74,6.26
2014,10.91,19.24,-0.40,18.81,18.53,15.69,8.67,12.26,15.00,15.34,23.27,19.19,23.70,9.06,13.59,13.57,11.64,15.12,15.10,21.40,6.82,14.56,10.92,9.19,7.74,19.64,15.31,7.66,11.81,12.32,8.44,13.51,14.68,9.15,16.78,7.33,12.41,18.50,10.18,11.67,12.21,18.56,9.93,16.13,20.97,10.87,7.79,14.78,10.64,12.92,8.91,6.62
