Variable:,tas
,China,"Anhui Sheng","Beijing Shi","Chongqing Shi","Fujian Sheng","Gansu Sheng","Guangdong Sheng","Guangxi Zhuangzu Zizhiqu","Guizhou Sheng","Hainan Sheng","Hebei Sheng","Heilongjiang Sheng","Henan Sheng","Hubei Sheng","Hunan Sheng","Jiangsu Sheng","Jiangxi Sheng","Jilin Sheng","Liaoning Sheng","Nei Mongol Zizhiqu","Ningxia Huizu Zizhiqu","Qinghai Sheng","Shaanxi Sheng","Shandong Sheng","Shanghai Shi","Shanxi Sheng","Sichuan Sheng","Tianjin Shi","Xinjiang Uygur Zizhiqu","Xizang Zizhiqu","Yunnan Sheng","Zhejiang Sheng"
2042,8.72,17.59,12.03,17.50,20.44,5.82,23.05,22.05,16.98,25.76,11.42,3.22,16.22,17.14,18.10,17.04,19.45,6.31,10.08,5.71,9.03,-0.67,12.48,15.17,17.92,11.03,10.32,14.84,7.54,0.68,17.97,17.88
2043,8.75,17.48,12.48,17.43,20.27,5.72,22.99,22.08,16.98,25.76,11.80,3.78,16.33,17.04,17.98,16.87,19.34,6.80,10.40,5.97,8.96,-0.82,12.59,15.49,17.79,11.29,10.29,15.20,7.38,0.58,17.90,17.79
2044,8.96,17.69,12.43,17.75,20.42,6.13,23.08,21.99,16.99,25.81,11.84,3.54,16.45,17.26,18.05,17.13,19.44,6.85,10.48,6.19,9.62,-0.51,13.01,15.62,18.17,11.54,10.50,15.13,7.77,0.85,17.98,18.00
2045,8.87,17.70,12.48,17.72,20.39,5.82,23.07,22.01,17.01,25.73,11.77,3.58,16.52,17.25,18.22,17.15,19.58,6.77,10.40,5.98,9.15,-0.67,12.84,15.53,18.00,11.36,10.46,15.21,7.61,0.80,17.83,17.93
2046,8.98,17.77,12.63,17.83,20.55,5.96,23.17,22.23,17.28,25.80,12.00,3.50,16.60,17.30,18.34,17.17,19.80,6.72,10.48,6.14,9.34,-0.53,12.97,15.60,18.04,11.56,10.52,15.44,7.70,0.90,18.01,18.15
2047,8.96,17.82,12.49,17.72,20.49,6.00,23.19,22.18,17.13,25.88,11.88,3.66,16.66,17.37,18.20,17.25,19.54,6.83,10.46,6.13,9.35,-0.57,12.88,15.69,18.04,11.51,10.49,15.37,7.71,0.78,18.08,17.96
2048,9.15,17.99,12.74,18.02,20.67,6.24,23.32,22.29,17.28,25.88,12.10,4.08,16.85,17.59,18.48,17.46,19.87,7.17,10.74,6.43,9.60,-0.39,13.03,15.94,18.32,11.60,10.66,15.44,7.85,0.78,18.14,18.20
2049,9.06,17.76,12.34,18.01,20.58,6.09,23.27,22.31,17.31,26.00,11.77,3.86,16.62,17.39,18.37,17.15,19.68,6.91,10.53,6.17,9.49,-0.44,13.00,15.57,17.87,11.59,10.62,15.10,7.87,0.92,18.22,18.00
2050,9.17,18.00,12.74,17.87,20.68,6.16,23.23,22.17,17.15,25.89,12.13,3.89,16.91,17.60,18.43,17.42,19.74,7.09,10.75,6.39,9.45,-0.40,13.13,15.84,18.28,11.83,10.63,15.49,7.95,1.11,18.16,18.29
2051,9.26,18.18,12.79,18.16,20.72,6.29,23.36,22.40,17.42,25.94,12.18,4.03,17.06,17.78,18.61,17.67,19.92,7.20,10.76,6.46,9.65,-0.24,13.26,16.07,18.52,11.92,10.77,15.62,7.96,1.00,18.24,18.42
2052,9.09,17.96,12.48,18.06,20.61,6.11,23.33,22.34,17.30,26.18,11.87,3.88,16.64,17.56,18.48,17.34,19.77,7.04,10.61,6.23,9.33,-0.50,12.92,15.68,18.17,11.51,10.62,15.36,7.92,0.89,18.23,18.15
2053,9.28,18.08,12.91,18.01,20.72,6.25,23.44,22.50,17.44,26.08,12.26,4.12,16.99,17.66,18.58,17.42,19.90,7.33,10.91,6.53,9.71,-0.31,13.22,16.00,18.33,11.93,10.73,15.77,8.00,1.02,18.36,18.37
2054,9.27,18.10,12.78,18.04,20.81,6.36,23.47,22.48,17.38,26.12,12.16,4.04,17.01,17.69,18.51,17.50,19.98,7.09,10.61,6.43,9.73,-0.29,13.24,16.01,18.45,11.98,10.75,15.59,8.12,0.95,18.34,18.39
2055,9.23,18.03,12.63,18.05,20.68,6.25,23.32,22.42,17.36,26.05,12.11,4.09,16.75,17.59,18.57,17.46,19.81,7.31,10.84,6.43,9.53,-0.37,13.11,15.85,18.39,11.76,10.74,15.47,7.95,1.11,18.33,18.26
2056,9.44,18.35,12.90,18.21,20.90,6.47,23.57,22.63,17.54,26.27,12.37,4.29,17.10,17.83,18.75,17.78,20.08,7.39,10.85,6.61,9.80,-0.18,13.41,16.13,18.70,12.05,10.84,15.80,8.32,1.18,18.34,18.59
2057,9.50,18.35,13.19,18.31,20.93,6.54,23.64,22.72,17.70,26.23,12.54,4.32,17.14,17.92,18.85,17.77,20.14,7.41,11.05,6.68,10.01,-0.01,13.50,16.23,18.66,12.19,10.98,15.95,8.25,1.28,18.44,18.59
2058,9.37,18.25,12.94,18.26,21.03,6.38,23.61,22.60,17.57,26.17,12.29,4.31,17.02,17.80,18.74,17.68,20.15,7.33,10.92,6.62,9.75,-0.19,13.33,16.06,18.52,12.00,10.86,15.73,7.98,1.09,18.44,18.56
2059,9.43,18.41,13.18,18.13,20.96,6.39,23.69,22.70,17.55,26.21,12.48,4.22,17.13,17.88,18.80,17.78,20.19,7.36,10.99,6.61,9.70,-0.22,13.37,16.18,18.58,12.13,10.79,15.87,8.27,1.13,18.41,18.54
2060,9.47,18.37,13.04,18.32,20.99,6.51,23.67,22.73,17.63,26.26,12.44,4.15,17.11,17.94,18.73,17.78,20.08,7.46,11.11,6.64,9.81,-0.03,13.40,16.19,18.62,11.96,10.99,15.95,8.17,1.33,18.58,18.52
2061,9.43,18.29,13.02,18.32,20.84,6.43,23.52,22.67,17.67,26.18,12.38,4.15,17.13,17.88,18.77,17.68,20.06,7.30,10.92,6.50,9.68,-0.11,13.33,16.11,18.52,11.92,10.98,15.90,8.19,1.36,18.45,18.44
2062,9.52,18.33,13.14,18.43,20.72,6.52,23.38,22.63,17.56,26.10,12.47,4.29,17.23,17.95,18.68,17.74,19.94,7.37,11.02,6.64,9.83,0.09,13.39,16.23,18.62,11.96,10.99,15.91,8.38,1.41,18.50,18.40
2063,9.56,18.46,13.18,18.40,20.99,6.57,23.64,22.76,17.73,26.25,12.55,4.31,17.35,18.05,18.97,17.85,20.24,7.32,11.01,6.74,9.97,0.06,13.52,16.28,18.63,12.21,11.02,16.05,8.26,1.42,18.50,18.52
2064,9.48,18.35,13.05,18.34,21.06,6.54,23.77,22.73,17.68,26.41,12.37,4.14,17.18,17.86,18.84,17.78,20.20,7.15,10.74,6.56,9.89,-0.05,13.42,16.13,18.55,12.10,10.97,15.75,8.25,1.40,18.50,18.51
2065,9.50,18.40,13.05,18.38,20.97,6.48,23.61,22.59,17.71,26.29,12.46,4.40,17.19,17.95,18.83,17.81,20.17,7.40,10.92,6.64,9.72,0.02,13.35,16.19,18.79,12.09,11.08,15.82,8.24,1.29,18.54,18.67
2066,9.53,18.37,12.89,18.30,20.89,6.54,23.50,22.62,17.76,26.17,12.28,4.41,17.14,17.94,18.84,17.73,20.14,7.45,11.00,6.57,9.68,0.01,13.33,16.09,18.58,11.92,11.11,15.72,8.42,1.38,18.60,18.48
2067,9.59,18.53,13.15,18.34,20.88,6.48,23.58,22.72,17.64,26.18,12.48,4.42,17.24,18.05,18.95,17.89,20.25,7.60,11.10,6.74,9.79,0.01,13.36,16.25,18.66,12.01,10.98,15.83,8.54,1.43,18.47,18.59
2068,9.79,18.78,13.44,18.70,21.11,6.90,23.82,22.96,17.96,26.34,12.79,4.29,17.55,18.37,19.27,18.06,20.44,7.55,11.14,6.95,10.22,0.30,13.76,16.49,18.74,12.44,11.27,16.21,8.63,1.63,18.63,18.74
2069,9.84,18.86,13.48,18.78,21.20,6.86,23.88,23.03,17.94,26.39,12.82,4.47,17.61,18.47,19.32,18.22,20.55,7.56,11.20,7.02,10.14,0.31,13.81,16.64,18.92,12.54,11.29,16.27,8.66,1.59,18.78,18.86
2070,9.61,18.54,13.16,18.40,21.12,6.57,23.76,22.78,17.74,26.32,12.49,4.38,17.29,18.09,19.00,17.95,20.33,7.44,11.06,6.70,9.79,0.05,13.43,16.35,18.80,12.09,11.12,15.95,8.42,1.53,18.62,18.77
2071,9.67,18.53,13.27,18.35,21.05,6.67,23.69,22.75,17.74,26.31,12.60,4.77,17.16,17.99,18.94,17.98,20.29,7.75,11.23,7.00,9.98,0.11,13.47,16.26,18.78,12.09,11.07,16.02,8.39,1.47,18.64,18.66
2072,9.72,18.53,13.19,18.63,21.05,6.82,23.75,22.77,17.83,26.48,12.62,4.35,17.46,18.17,19.02,17.89,20.32,7.47,11.07,6.91,10.33,0.14,13.74,16.34,18.63,12.33,11.22,15.96,8.61,1.56,18.67,18.63
2073,9.91,18.92,13.47,18.88,21.31,6.99,23.95,23.09,18.04,26.62,12.80,4.72,17.61,18.49,19.32,18.30,20.59,7.78,11.30,7.17,10.29,0.35,13.94,16.56,19.22,12.48,11.42,16.15,8.67,1.61,18.75,19.07
2074,9.90,18.88,13.50,18.61,21.22,6.94,23.90,23.01,17.90,26.52,12.94,4.54,17.71,18.39,19.20,18.26,20.53,7.75,11.42,7.19,10.42,0.14,14.01,16.67,19.09,12.75,11.21,16.39,8.88,1.56,18.69,18.91
2075,9.90,18.59,13.44,18.69,21.09,6.98,23.74,22.88,17.91,26.39,12.86,4.70,17.58,18.20,18.95,17.95,20.22,7.77,11.32,7.11,10.35,0.46,13.88,16.47,18.84,12.47,11.34,16.21,8.78,1.82,18.73,18.72
2076,9.89,18.81,13.57,18.93,21.27,6.96,23.96,23.09,18.12,26.48,12.89,4.35,17.59,18.42,19.33,18.17,20.62,7.66,11.34,7.01,10.25,0.29,13.97,16.50,19.04,12.60,11.42,16.28,8.74,1.67,18.83,18.94
2077,9.95,18.84,13.62,18.84,21.43,6.99,24.04,23.25,18.15,26.62,12.98,4.54,17.66,18.39,19.29,18.25,20.65,7.81,11.45,7.09,10.29,0.37,13.87,16.64,19.16,12.55,11.38,16.42,8.80,1.75,18.96,19.09
2078,9.91,18.83,13.65,18.84,21.30,6.91,23.89,22.97,17.98,26.47,12.93,4.82,17.60,18.42,19.23,18.25,20.50,7.94,11.61,7.10,10.24,0.41,13.80,16.64,19.00,12.48,11.34,16.38,8.68,1.68,18.71,18.89
2079,9.88,18.89,13.56,18.66,21.39,6.79,24.00,23.04,17.96,26.63,12.92,4.67,17.72,18.37,19.24,18.29,20.58,7.76,11.40,6.94,10.20,0.31,13.74,16.81,19.11,12.46,11.28,16.41,8.67,1.77,18.82,18.98
2080,9.99,19.02,13.65,18.88,21.42,6.99,24.11,23.16,18.03,26.69,13.00,4.89,17.85,18.51,19.37,18.43,20.68,8.04,11.48,7.12,10.40,0.41,13.93,16.88,19.25,12.62,11.36,16.56,8.76,1.79,18.86,18.97
2081,9.92,18.75,13.52,18.71,21.39,6.83,23.99,23.10,18.17,26.68,12.89,4.82,17.45,18.29,19.26,18.18,20.54,8.03,11.66,7.13,10.07,0.38,13.70,16.51,19.13,12.38,11.43,16.41,8.61,1.85,18.98,19.02
2082,10.08,19.03,13.75,18.88,21.51,7.00,24.12,23.11,18.10,26.54,13.13,5.06,17.75,18.52,19.35,18.46,20.72,8.15,11.77,7.38,10.30,0.52,13.99,16.90,19.21,12.69,11.47,16.51,8.76,1.89,18.92,19.13
2083,10.13,19.03,13.76,19.06,21.54,7.09,24.08,23.10,18.26,26.54,13.12,4.89,17.76,18.55,19.53,18.45,20.82,8.05,11.73,7.39,10.49,0.62,13.97,16.86,19.35,12.66,11.61,16.47,8.91,1.96,18.94,19.28
2084,10.08,18.91,13.75,18.92,21.39,7.06,23.95,22.94,18.11,26.51,13.09,5.02,17.73,18.56,19.30,18.33,20.58,8.13,11.75,7.33,10.31,0.64,13.97,16.69,19.26,12.69,11.52,16.55,8.84,1.95,18.93,19.14
2085,10.05,18.90,13.80,18.77,21.35,7.08,24.08,23.17,18.06,26.72,13.19,4.84,17.87,18.42,19.29,18.21,20.52,7.86,11.50,7.24,10.39,0.54,13.92,16.95,18.88,12.65,11.46,16.58,8.93,1.84,18.86,18.86
2086,10.15,19.16,13.93,19.14,21.55,7.09,24.20,23.40,18.35,26.78,13.27,4.95,17.84,18.69,19.61,18.59,20.88,8.10,11.77,7.45,10.35,0.52,14.00,16.94,19.34,12.71,11.43,16.77,8.95,1.73,19.03,19.24
2087,10.14,18.99,13.98,18.88,21.41,7.09,24.09,23.16,18.21,26.68,13.31,5.14,17.79,18.46,19.31,18.41,20.67,8.29,11.82,7.54,10.44,0.52,14.00,16.89,19.32,12.69,11.56,16.75,8.89,1.84,19.00,19.07
2088,10.06,18.90,13.64,19.17,21.49,6.87,24.08,23.21,18.28,26.59,13.04,5.08,17.67,18.44,19.36,18.29,20.69,8.09,11.58,7.28,10.09,0.56,13.76,16.77,19.16,12.49,11.69,16.51,8.70,1.97,18.97,19.09
2089,10.09,19.04,13.61,18.85,21.49,7.10,24.20,23.36,18.25,26.66,13.03,5.13,17.80,18.50,19.36,18.40,20.75,8.13,11.66,7.43,10.55,0.43,14.12,16.73,19.21,12.68,11.40,16.35,8.79,1.82,19.01,19.13
2090,10.24,19.20,13.93,19.12,21.62,7.17,24.23,23.32,18.37,26.78,13.35,4.96,17.99,18.76,19.55,18.59,20.87,8.15,11.87,7.49,10.50,0.65,14.14,17.00,19.47,12.95,11.68,16.75,8.98,2.09,19.06,19.39
2091,10.26,19.09,13.93,19.01,21.72,7.15,24.35,23.39,18.31,26.67,13.26,5.25,17.88,18.66,19.64,18.48,20.93,8.30,11.83,7.52,10.55,0.64,14.18,16.91,19.39,12.86,11.69,16.71,9.03,2.13,19.02,19.25
2092,10.26,19.03,13.93,19.10,21.47,7.18,24.30,23.49,18.35,26.83,13.40,5.32,17.94,18.69,19.51,18.31,20.80,8.47,12.03,7.57,10.44,0.66,14.16,16.91,19.18,12.97,11.63,16.80,8.95,2.10,19.17,19.14
2093,10.22,19.07,14.00,19.09,21.51,7.08,24.23,23.43,18.37,26.75,13.36,5.11,18.05,18.73,19.60,18.46,20.85,8.31,12.01,7.49,10.52,0.53,14.22,17.00,19.19,12.87,11.62,16.83,8.94,1.99,19.12,19.19
2094,10.17,19.08,13.65,18.99,21.48,7.12,24.17,23.21,18.24,26.81,12.98,4.98,17.84,18.69,19.54,18.44,20.79,8.17,11.93,7.36,10.40,0.74,14.07,16.85,19.14,12.56,11.73,16.32,8.82,2.21,19.09,19.09
2095,10.26,19.11,13.77,19.06,21.67,7.20,24.35,23.54,18.45,26.93,13.20,5.15,17.98,18.69,19.71,18.46,20.95,8.22,11.80,7.42,10.41,0.65,14.14,16.96,19.32,12.88,11.69,16.61,9.04,2.08,19.24,19.30
2096,10.27,19.18,14.04,19.03,21.38,7.13,24.09,23.27,18.23,26.73,13.42,5.29,18.14,18.84,19.57,18.50,20.69,8.36,11.93,7.63,10.44,0.68,14.16,17.12,19.32,12.93,11.51,16.83,9.03,2.05,19.08,19.09
2097,10.31,19.18,14.06,19.11,21.64,7.28,24.29,23.42,18.39,26.77,13.32,5.36,17.84,18.64,19.63,18.52,20.93,8.46,11.91,7.57,10.64,0.86,14.16,17.04,19.39,12.84,11.78,16.78,9.03,2.04,19.20,19.32
2098,10.15,18.98,13.74,18.91,21.56,7.11,24.22,23.37,18.23,26.69,13.14,5.16,17.75,18.54,19.47,18.42,20.81,8.19,11.75,7.42,10.44,0.49,14.12,16.83,19.23,12.76,11.53,16.60,8.96,1.87,18.96,19.17
2099,10.28,19.20,13.97,19.08,21.69,7.18,24.31,23.29,18.33,26.79,13.38,5.00,18.07,18.76,19.59,18.68,20.89,8.24,11.85,7.44,10.36,0.73,14.21,17.10,19.50,12.93,11.61,16.76,9.09,2.19,19.07,19.34
2100,10.34,19.22,13.90,19.08,21.66,7.27,24.38,23.38,18.31,26.86,13.32,5.34,18.09,18.71,19.57,18.61,20.90,8.38,11.95,7.56,10.67,0.73,14.25,17.02,19.39,13.05,11.68,16.84,9.11,2.27,19.13,19.30
