Variable:,tasmax
,Uzbekistan,Andijan,Bukhara,Fergana,Karakalpakstan,Kashkadarya,Khorezm,Namangan,Samarkand,Surkhandarya,Sirdarya,Tashkent,Jizzakh,Navoiy,"Tashkent city"
2050,21.52,14.57,24.84,15.74,20.84,25.06,23.28,16.89,23.78,25.14,20.97,19.80,20.71,22.71,23.64
2051,21.50,14.53,24.83,15.75,20.81,24.96,23.34,16.91,23.67,25.03,20.84,19.74,20.60,22.76,23.60
2052,21.63,14.69,25.01,15.94,20.82,25.19,23.46,17.12,23.92,25.21,21.10,20.00,20.85,22.96,23.83
2053,21.73,14.71,24.95,16.03,21.01,25.34,23.48,17.10,24.10,25.30,21.18,19.92,20.99,22.95,23.66
2054,21.88,14.84,25.44,16.08,21.06,25.50,23.83,17.23,24.21,25.42,21.34,20.18,21.15,23.22,24.07
2055,21.67,14.79,25.05,16.05,20.80,25.38,23.47,17.17,24.11,25.31,21.25,20.10,21.05,22.95,23.92
2056,21.93,14.62,25.22,15.93,21.28,25.33,23.67,17.23,24.04,25.37,21.23,20.16,21.01,23.15,23.92
2057,21.98,14.73,25.36,15.98,21.25,25.50,23.78,17.23,24.21,25.54,21.35,20.19,21.15,23.25,24.06
2058,21.69,14.83,25.12,16.06,20.89,25.28,23.53,17.22,24.00,25.26,21.24,20.08,20.92,22.97,23.84
2059,22.01,14.95,25.48,16.29,21.10,25.44,23.82,17.49,24.21,25.47,21.28,20.31,21.16,23.42,24.13
2060,21.69,14.47,25.11,15.67,20.99,25.12,23.54,16.90,23.91,25.04,20.91,19.84,20.78,23.01,23.72
2061,21.44,14.52,24.74,15.77,20.73,24.94,23.32,16.90,23.66,25.13,20.86,19.74,20.62,22.67,23.49
2062,21.90,14.78,25.16,16.00,21.17,25.48,23.59,17.24,24.18,25.56,21.29,20.16,21.07,23.13,23.98
2063,22.00,14.86,25.23,16.12,21.36,25.36,23.69,17.32,24.10,25.40,21.17,20.14,21.00,23.22,23.95
2064,21.92,14.86,25.22,16.08,21.25,25.45,23.72,17.34,24.17,25.62,21.28,20.18,21.11,23.08,24.01
2065,22.03,14.97,25.29,16.23,21.37,25.40,23.78,17.41,24.13,25.47,21.35,20.29,21.13,23.27,24.12
2066,21.93,14.87,25.32,16.11,21.25,25.41,23.72,17.31,24.15,25.44,21.29,20.16,21.08,23.19,23.97
2067,22.12,15.30,25.57,16.53,21.20,25.87,23.94,17.66,24.54,26.00,21.72,20.57,21.56,23.40,24.41
2068,21.88,15.07,25.30,16.30,21.08,25.43,23.77,17.41,24.17,25.46,21.34,20.23,21.16,23.18,24.07
2069,22.28,15.30,25.58,16.56,21.52,25.92,23.99,17.78,24.56,25.97,21.78,20.69,21.49,23.47,24.55
2070,22.09,15.07,25.36,16.29,21.38,25.63,23.87,17.51,24.28,25.72,21.52,20.40,21.27,23.33,24.27
2071,22.05,15.08,25.53,16.31,21.25,25.73,23.89,17.51,24.44,25.77,21.47,20.33,21.30,23.32,24.06
2072,22.03,15.10,25.35,16.23,21.36,25.53,23.81,17.35,24.35,25.52,21.30,20.17,21.16,23.24,24.03
2073,22.16,15.12,25.59,16.27,21.44,25.56,24.17,17.55,24.27,25.71,21.57,20.48,21.32,23.46,24.28
2074,22.44,15.44,25.81,16.73,21.51,26.25,24.19,17.89,24.98,26.39,22.11,20.89,21.94,23.68,24.75
2075,22.33,15.25,25.62,16.43,21.59,25.84,24.08,17.64,24.64,25.88,21.64,20.56,21.56,23.56,24.42
2076,22.05,15.08,25.33,16.32,21.32,25.65,23.81,17.59,24.34,25.72,21.50,20.41,21.27,23.26,24.20
2077,22.42,15.37,25.96,16.65,21.48,26.09,24.20,17.89,24.88,26.03,22.00,20.82,21.80,23.78,24.68
2078,22.18,15.17,25.57,16.36,21.47,25.69,23.95,17.50,24.44,25.73,21.44,20.40,21.26,23.43,24.24
2079,22.18,15.01,25.59,16.26,21.39,25.84,23.92,17.49,24.51,25.91,21.62,20.43,21.39,23.47,24.26
2080,22.21,15.44,25.58,16.62,21.37,25.74,24.03,17.77,24.54,25.75,21.74,20.62,21.51,23.53,24.44
2081,22.04,15.09,25.39,16.37,21.30,25.66,23.85,17.51,24.39,25.82,21.46,20.35,21.32,23.26,24.16
2082,22.40,15.38,25.62,16.64,21.74,25.94,24.22,17.73,24.58,26.11,21.76,20.56,21.54,23.61,24.37
2083,22.61,15.50,25.98,16.71,21.93,26.04,24.44,17.96,24.82,25.99,21.93,20.84,21.78,23.85,24.76
2084,22.72,15.70,26.06,17.01,21.97,26.21,24.47,18.20,24.94,26.24,22.25,21.05,21.92,23.95,24.82
2085,22.67,15.46,25.98,16.75,21.96,26.20,24.49,17.93,24.90,26.17,22.02,20.89,21.79,23.95,24.77
2086,22.53,15.60,25.90,16.64,21.87,25.87,24.57,17.71,24.69,25.90,21.68,20.54,21.59,23.90,24.34
2087,22.74,15.55,25.89,16.90,22.09,26.08,24.46,18.08,24.87,26.14,22.11,20.93,21.78,23.97,24.71
2088,22.41,15.19,25.64,16.45,21.73,25.86,24.13,17.69,24.57,26.00,21.70,20.64,21.50,23.69,24.44
2089,22.55,15.45,26.02,16.84,21.73,26.05,24.37,17.87,24.76,26.25,21.93,20.74,21.72,23.94,24.60
2090,22.52,15.67,25.88,16.82,21.82,26.10,24.46,18.03,24.79,26.01,21.99,20.92,21.71,23.75,24.79
2091,22.76,15.48,26.14,16.79,22.08,26.34,24.57,18.03,25.03,26.34,22.11,20.96,21.90,23.98,24.77
2092,22.83,15.69,26.18,16.91,22.11,26.28,24.57,18.17,25.00,26.25,22.27,21.15,21.98,24.13,24.96
2093,22.67,15.58,25.96,16.88,21.95,26.17,24.45,18.05,24.89,26.22,22.04,20.98,21.83,23.88,24.80
2094,22.76,15.75,26.19,16.99,22.00,26.21,24.77,18.07,24.97,26.33,22.13,20.95,21.98,24.10,24.82
2095,22.67,15.61,26.07,16.78,21.92,26.22,24.57,18.05,24.89,26.30,22.01,20.89,21.81,23.97,24.63
2096,22.62,15.76,25.90,16.97,21.85,26.34,24.47,18.16,24.96,26.56,22.14,21.00,21.93,23.84,24.66
2097,22.67,15.66,26.01,16.84,21.90,26.31,24.58,18.04,25.07,26.37,22.28,21.08,22.04,23.90,24.99
2098,22.93,15.67,26.16,16.96,22.25,26.42,24.57,18.22,25.14,26.43,22.22,21.11,22.07,24.17,24.85
2099,22.67,15.63,25.88,16.79,21.91,26.20,24.42,18.09,25.00,26.23,22.17,21.01,21.91,23.93,24.81
2100,22.66,15.51,25.89,16.85,21.93,26.16,24.48,18.01,24.96,26.06,22.09,20.88,21.92,23.95,24.74
