Variable:,tas
,"Trinidad and Tobago",Arima,Chaguanas,Couva/Tabaquite/Talparo,"Diego Martin",Penal/Debe,"Point Fortin","Port Of Spain","Princes Town","Rio Claro/Mayaro","San Fernando","San Juan/Laventille","Sangre Grande",Siparia,Tobago,Tunapuna/Piarco
2048,27.63,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,27.98,28.00,27.36,28.00
2049,27.58,27.98,27.98,27.98,27.98,27.98,27.98,27.98,27.98,27.98,27.98,27.98,27.95,27.98,27.35,27.98
2050,27.55,27.90,27.90,27.90,27.90,27.90,27.90,27.90,27.90,27.90,27.90,27.90,27.88,27.90,27.36,27.90
2051,27.50,27.87,27.87,27.87,27.87,27.87,27.87,27.87,27.87,27.87,27.87,27.87,27.85,27.87,27.27,27.87
2052,27.74,28.11,28.11,28.11,28.11,28.11,28.11,28.11,28.11,28.11,28.11,28.11,28.08,28.11,27.54,28.11
2053,27.73,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.12,28.14,27.46,28.14
2054,27.69,28.15,28.15,28.15,28.15,28.15,28.15,28.15,28.15,28.14,28.15,28.15,28.12,28.15,27.42,28.15
2055,27.69,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.13,28.14,28.14,28.11,28.14,27.43,28.14
2056,27.66,28.10,28.10,28.10,28.10,28.10,28.10,28.10,28.10,28.09,28.10,28.10,28.07,28.10,27.41,28.10
2057,27.89,28.43,28.43,28.43,28.43,28.43,28.43,28.43,28.43,28.42,28.43,28.43,28.39,28.43,27.62,28.43
2058,27.70,28.12,28.12,28.12,28.12,28.12,28.12,28.12,28.12,28.12,28.12,28.12,28.10,28.12,27.41,28.12
2059,27.80,28.23,28.23,28.23,28.23,28.23,28.23,28.23,28.23,28.23,28.23,28.23,28.20,28.23,27.54,28.23
2060,27.89,28.32,28.32,28.32,28.32,28.32,28.32,28.32,28.32,28.32,28.32,28.32,28.30,28.32,27.60,28.32
2061,27.71,28.18,28.18,28.18,28.18,28.18,28.18,28.18,28.18,28.17,28.18,28.18,28.15,28.18,27.48,28.18
2062,27.67,28.05,28.05,28.05,28.05,28.05,28.05,28.05,28.05,28.05,28.05,28.05,28.03,28.05,27.42,28.05
2063,27.86,28.34,28.34,28.34,28.34,28.34,28.34,28.34,28.34,28.33,28.34,28.34,28.31,28.34,27.61,28.34
2064,27.94,28.45,28.45,28.45,28.45,28.45,28.45,28.45,28.45,28.44,28.45,28.45,28.41,28.45,27.69,28.45
2065,28.04,28.42,28.42,28.42,28.42,28.42,28.42,28.42,28.42,28.42,28.42,28.42,28.39,28.42,27.85,28.42
2066,27.89,28.34,28.34,28.34,28.34,28.34,28.34,28.34,28.34,28.34,28.34,28.34,28.31,28.34,27.60,28.34
2067,27.96,28.34,28.34,28.34,28.34,28.34,28.34,28.34,28.34,28.34,28.34,28.34,28.32,28.34,27.73,28.34
2068,27.96,28.35,28.35,28.35,28.35,28.35,28.35,28.35,28.35,28.35,28.35,28.35,28.33,28.35,27.64,28.35
2069,27.91,28.41,28.41,28.41,28.41,28.41,28.41,28.41,28.41,28.40,28.41,28.41,28.38,28.41,27.63,28.41
2070,27.96,28.38,28.38,28.38,28.38,28.38,28.38,28.38,28.38,28.38,28.38,28.38,28.35,28.38,27.70,28.38
2071,27.89,28.41,28.41,28.41,28.41,28.41,28.41,28.41,28.41,28.40,28.41,28.41,28.37,28.41,27.66,28.41
2072,27.97,28.47,28.47,28.47,28.47,28.47,28.47,28.47,28.47,28.46,28.47,28.47,28.43,28.47,27.72,28.47
2073,28.07,28.47,28.47,28.47,28.47,28.47,28.47,28.47,28.47,28.47,28.47,28.47,28.45,28.47,27.80,28.47
2074,28.04,28.52,28.52,28.52,28.52,28.52,28.52,28.52,28.52,28.51,28.52,28.52,28.49,28.52,27.80,28.52
2075,27.94,28.40,28.40,28.40,28.40,28.40,28.40,28.40,28.40,28.39,28.40,28.40,28.37,28.40,27.71,28.40
2076,28.10,28.61,28.61,28.61,28.61,28.61,28.61,28.61,28.61,28.60,28.61,28.61,28.58,28.61,27.82,28.61
2077,28.20,28.67,28.67,28.67,28.67,28.67,28.67,28.67,28.67,28.66,28.67,28.67,28.64,28.67,27.94,28.67
2078,28.23,28.64,28.64,28.64,28.64,28.64,28.64,28.64,28.64,28.64,28.64,28.64,28.62,28.64,27.96,28.64
2079,28.03,28.47,28.47,28.47,28.47,28.47,28.47,28.47,28.47,28.47,28.47,28.47,28.45,28.47,27.73,28.47
2080,28.08,28.57,28.57,28.57,28.57,28.57,28.57,28.57,28.57,28.56,28.57,28.57,28.54,28.57,27.83,28.57
2081,28.16,28.65,28.65,28.65,28.65,28.65,28.65,28.65,28.65,28.64,28.65,28.65,28.62,28.65,27.87,28.65
2082,28.15,28.57,28.57,28.57,28.57,28.57,28.57,28.57,28.57,28.56,28.57,28.57,28.54,28.57,27.92,28.57
2083,28.16,28.61,28.61,28.61,28.61,28.61,28.61,28.61,28.61,28.61,28.61,28.61,28.59,28.61,27.85,28.61
2084,28.20,28.66,28.66,28.66,28.66,28.66,28.66,28.66,28.66,28.65,28.66,28.66,28.63,28.66,27.92,28.66
2085,28.23,28.72,28.72,28.72,28.72,28.72,28.72,28.72,28.72,28.71,28.72,28.72,28.69,28.72,27.97,28.72
2086,28.28,28.76,28.76,28.76,28.76,28.76,28.76,28.76,28.76,28.75,28.76,28.76,28.73,28.76,28.03,28.76
2087,28.25,28.78,28.78,28.78,28.78,28.78,28.78,28.78,28.78,28.77,28.78,28.78,28.74,28.78,27.97,28.78
2088,28.06,28.50,28.50,28.50,28.50,28.50,28.50,28.50,28.50,28.49,28.50,28.50,28.47,28.50,27.81,28.50
2089,28.19,28.65,28.65,28.65,28.65,28.65,28.65,28.65,28.65,28.64,28.65,28.65,28.62,28.65,27.95,28.65
2090,28.44,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.94,28.95,28.95,28.91,28.95,28.19,28.95
2091,28.32,28.79,28.79,28.79,28.79,28.79,28.79,28.79,28.79,28.78,28.79,28.79,28.76,28.79,28.06,28.79
2092,28.31,28.79,28.79,28.79,28.79,28.79,28.79,28.79,28.79,28.78,28.79,28.79,28.76,28.79,28.02,28.79
2093,28.20,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.74,28.75,28.75,28.71,28.75,27.91,28.75
2094,28.31,28.81,28.81,28.81,28.81,28.81,28.81,28.81,28.81,28.80,28.81,28.81,28.78,28.81,28.05,28.81
2095,28.43,28.88,28.88,28.88,28.88,28.88,28.88,28.88,28.88,28.88,28.88,28.88,28.85,28.88,28.16,28.88
2096,28.36,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.81,28.82,28.82,28.79,28.82,28.11,28.82
2097,28.21,28.60,28.60,28.60,28.60,28.60,28.60,28.60,28.60,28.60,28.60,28.60,28.57,28.60,28.00,28.60
2098,28.18,28.68,28.68,28.68,28.68,28.68,28.68,28.68,28.68,28.67,28.68,28.68,28.65,28.68,27.90,28.68
2099,28.31,28.80,28.80,28.80,28.80,28.80,28.80,28.80,28.80,28.79,28.80,28.80,28.77,28.80,28.04,28.80
2100,28.47,28.99,28.99,28.99,28.99,28.99,28.99,28.99,28.99,28.98,28.99,28.99,28.96,28.99,28.15,28.99
